C1.19,017,099,115,1297,1,1595092674
C1.19,108,100,003,0048,1,1595219127
C1.19,031,021,098,1478,0,1595070631
C1.19,089,005,002,1227,1,1595077996
C1.19,124,091,107,0968,0,1595093201
C1.19,134,035,048,1474,0,1595199663
C1.19,107,039,043,0990,0,1595275308
C1.19,128,127,039,0951,0,1595180011
C1.19,136,117,071,1416,0,1595089223
C1.19,004,130,122,0446,0,1595232870
C1.19,115,011,053,1351,1,1595052243
C1.19,056,070,140,1382,0,1595082798
C1.19,095,079,005,1118,0,1595117596
C1.19,099,078,034,0588,0,1595153022
C1.19,084,048,030,0635,0,1595285300
C1.19,050,118,131,0590,1,1595039223
C1.19,065,018,016,0393,1,1595056400
C1.19,035,071,147,0902,0,1595045066
C1.19,015,089,055,0442,0,1595178236
C1.19,034,028,045,1057,0,1595264327
C1.19,067,150,013,0442,1,1595199137
C1.19,107,132,147,0023,1,1595050354
C1.19,041,040,055,0092,0,1595098362
C1.19,144,067,123,1181,1,1595156302
C1.19,106,023,121,0525,1,1595107755
C1.19,112,116,008,1090,0,1595161094
C1.19,139,115,102,1392,1,1595162557
C1.19,147,134,042,0192,0,1595104401
C1.19,091,048,114,0429,0,1595048355
C1.19,092,116,057,0626,1,1595205663
C1.19,071,083,086,0236,1,1595093832
C1.19,092,087,109,0437,0,1595030835
C1.19,008,010,088,1481,0,1595055956
C1.19,025,019,100,0085,0,1595173491
C1.19,138,005,055,0268,0,1595143965
C1.19,092,046,105,0635,0,1595030520
C1.19,092,061,010,1295,0,1595215443
C1.19,102,028,146,0387,0,1595154933
C1.19,023,091,005,0293,0,1595060515
C1.19,060,075,094,1311,1,1595149165
C1.19,137,060,074,1074,1,1595255508
C1.19,006,049,066,0441,0,1595220431
C1.19,117,059,141,0648,0,1595166415
C1.19,132,140,067,0672,0,1595070518
C1.19,090,104,039,0538,0,1595128570
C1.19,069,081,134,0728,0,1595174445
C1.19,037,008,039,1010,1,1595203147
C1.19,099,110,041,1427,0,1595237472
C1.19,077,146,036,0614,0,1595146200
C1.19,071,127,008,0378,1,1595086826
C1.19,135,057,098,1060,0,1595166076
C1.19,126,095,117,0514,0,1595134335
C1.19,088,090,029,0573,1,1595219930
C1.19,065,068,082,0482,0,1595147176
C1.19,107,001,062,1157,1,1595266985
C1.19,125,014,086,1316,0,1595225471
C1.19,047,011,059,1256,1,1595126710
C1.19,015,072,032,1321,0,1595184398
C1.19,028,068,024,0951,0,1595052813
C1.19,146,125,131,1021,1,1595263420
C1.19,092,058,040,1240,1,1595232328
C1.19,035,101,009,0025,0,1595073568
C1.19,014,141,101,0014,1,1595247895
C1.19,046,061,056,0621,0,1595212871
C1.19,052,001,120,1037,1,1595159897
C1.19,091,118,044,0386,0,1595080239
C1.19,078,096,122,0625,0,1595112834
C1.19,063,044,123,1335,0,1595079704
C1.19,091,046,035,0364,1,1595078200
C1.19,043,098,145,0447,1,1595252766
C1.19,143,031,129,0151,0,1595075660
C1.19,126,132,114,1207,1,1595179815
C1.19,051,010,077,0548,0,1595076178
C1.19,011,043,080,0266,0,1595131426
C1.19,018,029,126,0580,0,1595123546
C1.19,024,034,089,1043,1,1595086829
C1.19,100,016,079,0802,0,1595249923
C1.19,059,085,116,0841,0,1595120911
C1.19,097,002,144,0546,0,1595186412
C1.19,056,061,119,1038,0,1595166843
C1.19,095,063,059,0876,1,1595250833
C1.19,072,055,067,1493,0,1595278652
